ID,Estado de la desaparición,Clasificación de la desaparición,Fecha de la desaparición,Edad al momento de la desaparición,Sexo del desaparecido,País de nacimiento del desaparecido,Ancestro racial del desaparecido,Estado civil del desaparecido,Escolaridad del desaparecido,Pertenencia grupal del desaparecido,País donde ocurre la desaparición,Municipio donde ocurre la desaparición DANE,Departamento donde ocurre la desaparición DANE
"231,413",Desaparecido,Sin Información,02/01/2023,72,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,418",Aparecio Vivo,Sin Información,02/01/2023,14,Mujer,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,421",Aparecio Vivo,Sin Información,02/01/2023,32,Mujer,Colombia,Sin Información,"Separado(a),Divorciado(a)",Educación técnica profesional y tecnológica,Ninguno,Colombia,Rivera,Huila
"231,423",Aparecio Vivo,Sin Información,01/01/2023,61,Mujer,Colombia,Negro,Soltero (a),Educación inicial y educación preescolar,Otro,Colombia,Bogotá D.C.,Bogotá D.C
"231,424",Desaparecido,Sin Información,02/01/2023,31,Hombre,Colombia,Negro,Soltero (a),Educación inicial y educación preescolar,Otro,Colombia,Cali,Valle Del Cauca
"231,431",Aparecio Vivo,Sin Información,02/01/2023,70,Hombre,Colombia,Mestizo,Casado (a),Sin información,Ninguno,Colombia,Cúcuta,Norte De Santander
"231,435",Aparecio Vivo,Sin Información,04/01/2023,69,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,440",Desaparecido,Sin Información,03/01/2023,70,Hombre,Colombia,Sin Información,Casado (a),Sin información,Sin información,Colombia,Espinal,Tolima
"231,441",Desaparecido,Sin Información,02/01/2023,36,Mujer,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Otro,Colombia,Cali,Valle Del Cauca
"231,445",Aparecio Vivo,Sin Información,03/01/2023,13,Mujer,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Santa Marta,Magdalena
"231,446",Desaparecido,Sin Información,04/01/2023,52,Hombre,Colombia,Mestizo,Casado (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,448",Desaparecido,Sin Información,04/01/2023,22,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,449",Desaparecido,Sin Información,01/01/2023,28,Hombre,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,451",Aparecio Muerto,Desaparición Presuntamente Forzada,01/01/2023,40,Mujer,Colombia,Sin Información,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Galapa,Atlántico
"231,453",Desaparecido,Sin Información,02/01/2023,30,Hombre,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"231,454",Aparecio Vivo,Sin Información,05/01/2023,18,Mujer,Colombia,Mestizo,Unión Libre,Educación básica primaria,Sin información,Colombia,Cali,Valle Del Cauca
"231,456",Desaparecido,Sin Información,03/01/2023,35,Mujer,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Sin información,Colombia,Villavicencio,Meta
"231,457",Desaparecido,Sin Información,04/01/2023,15,Mujer,Colombia,Mestizo,No Aplica,Educación inicial y educación preescolar,Sin información,Colombia,Cartago,Valle Del Cauca
"231,458",Aparecio Muerto,Sin Información,01/01/2023,22,Mujer,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Facatativá,Cundinamarca
"231,459",Aparecio Vivo,Sin Información,04/01/2023,16,Mujer,Colombia,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Manizales,Caldas
"231,461",Aparecio Vivo,Sin Información,04/01/2023,44,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,462",Aparecio Vivo,Sin Información,01/01/2023,51,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Chinchiná,Caldas
"231,463",Aparecio Muerto,Sin Información,05/01/2023,61,Mujer,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Sin información,Colombia,Cali,Valle Del Cauca
"231,464",Aparecio Vivo,Sin Información,03/01/2023,26,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Cúcuta,Norte De Santander
"231,467",Desaparecido,Sin Información,02/01/2023,68,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Buenavista,Quindio
"231,468",Desaparecido,Sin Información,03/01/2023,15,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,469",Desaparecido,Sin Información,03/01/2023,2,Mujer,Colombia,Sin Información,No Aplica,Sin información,Ninguno,Colombia,Marinilla,Antioquia
"231,470",Aparecio Vivo,Sin Información,05/01/2023,32,Mujer,Colombia,Mestizo,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Cúcuta,Norte De Santander
"231,471",Aparecio Vivo,Sin Información,04/01/2023,31,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,473",Desaparecido,Sin Información,02/01/2023,64,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,474",Aparecio Vivo,Sin Información,03/01/2023,20,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,476",Aparecio Vivo,Sin Información,05/01/2023,17,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Tunja,Boyacá
"231,478",Aparecio Vivo,Sin Información,05/01/2023,29,Hombre,Colombia,Sin Información,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Neiva,Huila
"231,479",Desaparecido,Sin Información,06/01/2023,24,Mujer,Colombia,Blanco,Soltero (a),Educación básica secundaria o secundaria baja,Sin información,Colombia,Guadalajara De Buga,Valle Del Cauca
"231,480",Desaparecido,Sin Información,03/01/2023,21,Mujer,Colombia,Mestizo,Unión Libre,Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"231,481",Desaparecido,Sin Información,02/01/2023,69,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Santa Marta,Magdalena
"231,483",Desaparecido,Sin Información,04/01/2023,63,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,484",Aparecio Vivo,Desaparición Presuntamente Forzada,03/01/2023,40,Hombre,Colombia,Mestizo,Unión Libre,Educación técnica profesional y tecnológica,Campesinos (as) y/o trabajadores (as) del campo,Colombia,Cubará,Boyacá
"231,485",Aparecio Vivo,Sin Información,03/01/2023,26,Hombre,Colombia,Mestizo,Soltero (a),Sin información,Discapacitados (as),Colombia,Bogotá D.C.,Bogotá D.C
"231,488",Desaparecido,Sin Información,04/01/2023,17,Hombre,Colombia,Mestizo,Sin Información,Educación básica secundaria o secundaria baja,Sin información,Colombia,Manizales,Caldas
"231,489",Aparecio Vivo,Sin Información,02/01/2023,15,Mujer,Colombia,Mestizo,No Aplica,Educación básica primaria,Ninguno,Colombia,Cúcuta,Norte De Santander
"231,490",Desaparecido,Sin Información,01/01/2023,31,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Múltiples factores,Colombia,Bogotá D.C.,Bogotá D.C
"231,491",Desaparecido,Sin Información,04/01/2023,28,Hombre,Colombia,Mestizo,Unión Libre,Educación inicial y educación preescolar,Personas bajo custodia,Colombia,Bogotá D.C.,Bogotá D.C
"231,493",Aparecio Vivo,Sin Información,05/01/2023,13,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Medellín,Antioquia
"231,495",Desaparecido,Sin Información,06/01/2023,76,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Dosquebradas,Risaralda
"231,496",Desaparecido,Sin Información,04/01/2023,48,Hombre,Colombia,Mestizo,Unión Libre,Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,497",Aparecio Vivo,Sin Información,05/01/2023,49,Hombre,Colombia,Mestizo,Soltero (a),Educación técnica profesional y tecnológica,Persona adicta a una droga natural o sintética,Colombia,Pereira,Risaralda
"231,498",Desaparecido,Sin Información,06/01/2023,46,Hombre,Colombia,Mestizo,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,499",Aparecio Vivo,Sin Información,05/01/2023,23,Mujer,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Tunja,Boyacá
"231,500",Aparecio Vivo,Sin Información,05/01/2023,59,Mujer,Colombia,Mestizo,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Medellín,Antioquia
"231,501",Aparecio Vivo,Sin Información,08/01/2023,14,Hombre,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Medellín,Antioquia
"231,502",Aparecio Vivo,Sin Información,05/01/2023,59,Hombre,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Pereira,Risaralda
"231,503",Desaparecido,Sin Información,07/01/2023,30,Hombre,Venezuela,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,504",Desaparecido,Sin Información,06/01/2023,47,Mujer,Colombia,Mestizo,Unión Libre,Educación técnica profesional y tecnológica,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"231,505",Aparecio Vivo,Sin Información,09/01/2023,30,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,506",Desaparecido,Sin Información,07/01/2023,54,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,508",Aparecio Vivo,Sin Información,08/01/2023,17,Mujer,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,513",Aparecio Vivo,Sin Información,02/01/2023,18,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Mosquera,Cundinamarca
"231,515",Desaparecido,Sin Información,04/01/2023,17,Mujer,Colombia,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Santa Marta,Magdalena
"231,517",Aparecio Vivo,Sin Información,07/01/2023,18,Hombre,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Otro,Colombia,Bogotá D.C.,Bogotá D.C
"231,521",Aparecio Muerto,Sin Información,08/01/2023,24,Hombre,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,523",Aparecio Vivo,Sin Información,08/01/2023,14,Mujer,Venezuela,Mestizo,Soltero (a),Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,524",Aparecio Vivo,Sin Información,08/01/2023,22,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Pasto,Nariño
"231,525",Aparecio Vivo,Sin Información,05/01/2023,24,Hombre,Colombia,Blanco,Soltero (a),Educación básica secundaria o secundaria baja,Persona adicta a una droga natural o sintética,Colombia,Cali,Valle Del Cauca
"231,526",Aparecio Vivo,Sin Información,10/01/2023,56,Mujer,Colombia,Mestizo,Soltero (a),Sin información,Discapacitados (as),Colombia,Cúcuta,Norte De Santander
"231,527",Desaparecido,Sin Información,03/01/2023,22,Mujer,Colombia,Blanco,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Dosquebradas,Risaralda
"231,528",Aparecio Vivo,Sin Información,03/01/2023,31,Hombre,Colombia,Sin Información,Unión Libre,Sin información,Ninguno,Colombia,Soacha,Cundinamarca
"231,531",Desaparecido,Sin Información,06/01/2023,16,Mujer,Colombia,Sin Información,Sin Información,Sin información,Ninguno,Colombia,Chía,Cundinamarca
"231,532",Desaparecido,Sin Información,03/01/2023,48,Mujer,Venezuela,Sin Información,Unión Libre,Educación técnica profesional y tecnológica,Sin información,Colombia,Bucaramanga,Santander
"231,533",Aparecio Vivo,Sin Información,06/01/2023,21,Mujer,Colombia,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Santa Marta,Magdalena
"231,534",Desaparecido,Sin Información,06/01/2023,48,Hombre,Colombia,Mestizo,Casado (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,535",Aparecio Vivo,Sin Información,03/01/2023,31,Mujer,Colombia,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Santa Marta,Magdalena
"231,536",Aparecio Muerto,Sin Información,06/01/2023,50,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Armenia,Quindio
"231,541",Aparecio Muerto,Sin Información,06/01/2023,66,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Copacabana,Antioquia
"231,542",Desaparecido,Sin Información,09/01/2023,14,Mujer,Colombia,Sin Información,Sin Información,Educación básica primaria,Sin información,Colombia,Garzón,Huila
"231,543",Desaparecido,Sin Información,04/01/2023,9,Mujer,Ecuador,Mestizo,No Aplica,Educación inicial y educación preescolar,Ninguno,Colombia,Medellín,Antioquia
"231,544",Desaparecido,Sin Información,06/01/2023,13,Hombre,Colombia,Mestizo,No Aplica,Sin información,Otro,Colombia,Tuluá,Valle Del Cauca
"231,546",Aparecio Vivo,Sin Información,09/01/2023,15,Hombre,Colombia,Blanco,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,547",Desaparecido,Sin Información,03/01/2023,19,Hombre,Venezuela,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Sin información,Colombia,Bucaramanga,Santander
"231,549",Aparecio Vivo,Sin Información,10/01/2023,13,Mujer,Colombia,Blanco,Soltero (a),Educación básica primaria,Ninguno,Colombia,Cali,Valle Del Cauca
"231,550",Aparecio Vivo,Sin Información,10/01/2023,14,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,552",Desaparecido,Sin Información,04/01/2023,71,Hombre,Colombia,Mestizo,Soltero (a),Sin escolaridad,Ninguno,Colombia,Quimbaya,Quindio
"231,553",Desaparecido,Sin Información,09/01/2023,40,Hombre,Colombia,Sin Información,Casado (a),Educación básica secundaria o secundaria baja,Sin información,Colombia,Cúcuta,Norte De Santander
"231,554",Desaparecido,Sin Información,04/01/2023,33,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,La Mesa,Cundinamarca
"231,555",Aparecio Vivo,Sin Información,10/01/2023,23,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Dosquebradas,Risaralda
"231,557",Aparecio Vivo,Sin Información,11/01/2023,40,Mujer,Colombia,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Ibagué,Tolima
"231,562",Desaparecido,Sin Información,07/01/2023,57,Hombre,Colombia,Blanco,"Separado(a),Divorciado(a)",Educación media o secundaria alta,Ninguno,Colombia,Pereira,Risaralda
"231,567",Aparecio Vivo,Sin Información,08/01/2023,23,Hombre,Venezuela,Mestizo,Soltero (a),Educación inicial y educación preescolar,Herido y/o enfermo bajo protección sanitaria o médica,Colombia,Bogotá D.C.,Bogotá D.C
"231,569",Desaparecido,Sin Información,09/01/2023,52,Hombre,Ecuador,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,570",Aparecio Vivo,Sin Información,09/01/2023,13,Mujer,Colombia,Sin Información,Soltero (a),Educación básica primaria,Sin información,Colombia,Medellín,Antioquia
"231,572",Aparecio Vivo,Sin Información,02/01/2023,56,Hombre,Colombia,Blanco,Soltero (a),Educación básica primaria,Otro,Colombia,Cali,Valle Del Cauca
"231,573",Desaparecido,Sin Información,02/01/2023,22,Hombre,Sin información,Sin Información,Sin Información,Sin información,Sin información,Colombia,Valledupar,Cesar
"231,574",Aparecio Vivo,Sin Información,11/01/2023,13,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Pasto,Nariño
"231,576",Aparecio Vivo,Sin Información,08/01/2023,13,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"231,577",Aparecio Vivo,Sin Información,09/01/2023,16,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Manizales,Caldas
"231,579",Desaparecido,Sin Información,07/01/2023,20,Mujer,Colombia,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Sin información,Colombia,Soacha,Cundinamarca
"231,580",Aparecio Muerto,Sin Información,09/01/2023,42,Hombre,Colombia,Mestizo,Soltero (a),Sin información,Persona adicta a una droga natural o sintética,Colombia,La Virginia,Risaralda
"231,581",Desaparecido,Sin Información,10/01/2023,15,Mujer,Colombia,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bucaramanga,Santander
"231,582",Aparecio Vivo,Sin Información,12/01/2023,14,Mujer,Colombia,Mestizo,No Aplica,Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,588",Aparecio Vivo,Sin Información,12/01/2023,73,Hombre,Colombia,Sin Información,Soltero (a),Educación inicial y educación preescolar,Otro,Colombia,Cali,Valle Del Cauca
"231,589",Desaparecido,Sin Información,12/01/2023,16,Mujer,Colombia,Sin Información,Soltero (a),Educación básica primaria,Sin información,Colombia,Floridablanca,Santander
"231,590",Desaparecido,Sin Información,11/01/2023,84,Hombre,Colombia,Mestizo,Casado (a),Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,591",Aparecio Vivo,Sin Información,12/01/2023,43,Hombre,Colombia,Sin Información,Unión Libre,Educación media o secundaria alta,Sin información,Colombia,Barranquilla,Atlántico
"231,592",Desaparecido,Sin Información,12/01/2023,16,Mujer,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"231,594",Aparecio Vivo,Sin Información,12/01/2023,17,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,595",Aparecio Vivo,Sin Información,07/01/2023,22,Mujer,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Tunja,Boyacá
"231,596",Aparecio Vivo,Sin Información,12/01/2023,35,Hombre,Colombia,Sin Información,Unión Libre,Sin información,Sin información,Colombia,Popayán,Cauca
"231,597",Aparecio Vivo,Sin Información,13/01/2023,14,Hombre,Colombia,Sin Información,No Aplica,Educación básica primaria,Ninguno,Colombia,Cúcuta,Norte De Santander
"231,598",Aparecio Vivo,Sin Información,13/01/2023,14,Mujer,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,600",Aparecio Vivo,Sin Información,13/01/2023,65,Hombre,Colombia,Sin Información,Soltero (a),Sin escolaridad,Otro,Colombia,Cali,Valle Del Cauca
"231,601",Aparecio Muerto,Sin Información,11/01/2023,45,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Otro,Colombia,Bogotá D.C.,Bogotá D.C
"231,602",Aparecio Vivo,Sin Información,06/01/2023,32,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Otro,Colombia,Cajicá,Cundinamarca
"231,603",Desaparecido,Sin Información,13/01/2023,36,Hombre,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,604",Aparecio Vivo,Sin Información,14/01/2023,25,Mujer,Colombia,Sin Información,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Cali,Valle Del Cauca
"231,605",Aparecio Vivo,Sin Información,13/01/2023,21,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"231,606",Aparecio Vivo,Sin Información,14/01/2023,19,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,607",Aparecio Vivo,Sin Información,10/01/2023,24,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,608",Aparecio Vivo,Sin Información,02/01/2023,22,Hombre,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,609",Aparecio Vivo,Sin Información,12/01/2023,51,Hombre,Colombia,Sin Información,Unión Libre,Educación media o secundaria alta,Otro,Colombia,Bogotá D.C.,Bogotá D.C
"231,610",Aparecio Vivo,Sin Información,09/01/2023,38,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Pereira,Risaralda
"231,611",Aparecio Vivo,Sin Información,10/01/2023,15,Mujer,Colombia,Mestizo,No Aplica,Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,612",Aparecio Vivo,Sin Información,10/01/2023,65,Hombre,Colombia,Mestizo,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Girardot,Cundinamarca
"231,616",Aparecio Vivo,Sin Información,11/01/2023,29,Hombre,Colombia,Mestizo,Soltero (a),Educación inicial y educación preescolar,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C
"231,617",Desaparecido,Sin Información,13/01/2023,29,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Dosquebradas,Risaralda
"231,618",Aparecio Vivo,Sin Información,14/01/2023,33,Mujer,Colombia,Mestizo,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Dosquebradas,Risaralda
"231,619",Desaparecido,Sin Información,12/01/2023,14,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Valledupar,Cesar
"231,620",Aparecio Vivo,Sin Información,05/01/2023,42,Hombre,Colombia,Sin Información,Soltero (a),Sin escolaridad,Ninguno,Colombia,Cali,Valle Del Cauca
"231,621",Aparecio Vivo,Sin Información,15/01/2023,89,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Otro,Colombia,Bogotá D.C.,Bogotá D.C
"231,624",Aparecio Vivo,Sin Información,12/01/2023,12,Hombre,Colombia,Mestizo,Soltero (a),Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,625",Desaparecido,Sin Información,10/01/2023,17,Hombre,Colombia,Mestizo,Sin Información,Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,626",Desaparecido,Sin Información,13/01/2023,19,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Girardot,Cundinamarca
"231,629",Desaparecido,Sin Información,10/01/2023,64,Hombre,Colombia,Sin Información,Viudo (a),Sin información,Sin información,Colombia,Medellín,Antioquia
"231,631",Aparecio Vivo,Sin Información,13/01/2023,27,Hombre,Colombia,Blanco,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Cali,Valle Del Cauca
"231,633",Aparecio Vivo,Sin Información,10/01/2023,24,Hombre,Colombia,Blanco,Soltero (a),Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Cali,Valle Del Cauca
"231,636",Desaparecido,Sin Información,15/01/2023,31,Hombre,Colombia,Mestizo,Unión Libre,Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C
"231,639",Desaparecido,Desaparición Presuntamente Forzada,11/01/2023,25,Hombre,Colombia,Negro,Unión Libre,Educación básica primaria,Ninguno,Colombia,Buenaventura,Valle Del Cauca
"231,640",Desaparecido,Sin Información,02/01/2023,59,Hombre,Colombia,Sin Información,Sin Información,Sin información,Ninguno,Colombia,Santa Rosa Del Sur,Bolívar
"231,641",Aparecio Vivo,Sin Información,16/01/2023,36,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Manizales,Caldas
"231,643",Desaparecido,Sin Información,08/01/2023,51,Mujer,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación inicial y educación preescolar,Ninguno,Colombia,Soacha,Cundinamarca
"231,644",Aparecio Muerto,Sin Información,15/01/2023,68,Mujer,Colombia,Sin Información,"Separado(a),Divorciado(a)",Educación básica primaria,Sin información,Colombia,Medellín,Antioquia
