ID,Estado de la desaparición,Clasificación de la desaparición,Fecha de la desaparición,Edad al momento de la desaparición,Sexo del desaparecido,País de nacimiento del desaparecido,Ancestro racial del desaparecido,Estado civil del desaparecido,Escolaridad del desaparecido,Pertenencia grupal del desaparecido,País donde ocurre la desaparición,Municipio donde ocurre la desaparición DANE,Departamento donde ocurre la desaparición DANE,Contexto
"231,413",Desaparecido,Sin Información,2023-01-02T00:00:00.000,72,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,418",Aparecio Vivo,Sin Información,2023-01-02T00:00:00.000,14,Mujer,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,421",Aparecio Vivo,Sin Información,2023-01-02T00:00:00.000,32,Mujer,Colombia,Sin Información,"Separado(a),Divorciado(a)",Educación técnica profesional y tecnológica,Ninguno,Colombia,Rivera,Huila,Desaparición
"231,423",Aparecio Vivo,Sin Información,2023-01-01T00:00:00.000,61,Mujer,Colombia,Negro,Soltero (a),Educación inicial y educación preescolar,Otro,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,424",Desaparecido,Sin Información,2023-01-02T00:00:00.000,31,Hombre,Colombia,Negro,Soltero (a),Educación inicial y educación preescolar,Otro,Colombia,Cali,Valle Del Cauca,Desaparición
"231,431",Aparecio Vivo,Sin Información,2023-01-02T00:00:00.000,70,Hombre,Colombia,Mestizo,Casado (a),Sin información,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
"231,435",Aparecio Vivo,Sin Información,2023-01-04T00:00:00.000,69,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,440",Desaparecido,Sin Información,2023-01-03T00:00:00.000,70,Hombre,Colombia,Sin Información,Casado (a),Sin información,Sin información,Colombia,Espinal,Tolima,Desaparición
"231,441",Desaparecido,Sin Información,2023-01-02T00:00:00.000,36,Mujer,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Otro,Colombia,Cali,Valle Del Cauca,Desaparición
"231,445",Aparecio Vivo,Sin Información,2023-01-03T00:00:00.000,13,Mujer,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Santa Marta,Magdalena,Desaparición
"231,446",Desaparecido,Sin Información,2023-01-04T00:00:00.000,52,Hombre,Colombia,Mestizo,Casado (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,448",Desaparecido,Sin Información,2023-01-04T00:00:00.000,22,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,449",Desaparecido,Sin Información,2023-01-01T00:00:00.000,28,Hombre,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,451",Aparecio Muerto,Desaparición Presuntamente Forzada,2023-01-01T00:00:00.000,40,Mujer,Colombia,Sin Información,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Galapa,Atlántico,Desaparición
"231,453",Desaparecido,Sin Información,2023-01-02T00:00:00.000,30,Hombre,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,454",Aparecio Vivo,Sin Información,2023-01-05T00:00:00.000,18,Mujer,Colombia,Mestizo,Unión Libre,Educación básica primaria,Sin información,Colombia,Cali,Valle Del Cauca,Desaparición
"231,456",Desaparecido,Sin Información,2023-01-03T00:00:00.000,35,Mujer,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Sin información,Colombia,Villavicencio,Meta,Desaparición
"231,457",Desaparecido,Sin Información,2023-01-04T00:00:00.000,15,Mujer,Colombia,Mestizo,No Aplica,Educación inicial y educación preescolar,Sin información,Colombia,Cartago,Valle Del Cauca,Desaparición
"231,458",Aparecio Muerto,Sin Información,2023-01-01T00:00:00.000,22,Mujer,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Facatativá,Cundinamarca,Desaparición
"231,459",Aparecio Vivo,Sin Información,2023-01-04T00:00:00.000,16,Mujer,Colombia,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Manizales,Caldas,Desaparición
"231,461",Aparecio Vivo,Sin Información,2023-01-04T00:00:00.000,44,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,462",Aparecio Vivo,Sin Información,2023-01-01T00:00:00.000,51,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Chinchiná,Caldas,Desaparición
"231,463",Aparecio Muerto,Sin Información,2023-01-05T00:00:00.000,61,Mujer,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Sin información,Colombia,Cali,Valle Del Cauca,Desaparición
"231,464",Aparecio Vivo,Sin Información,2023-01-03T00:00:00.000,26,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
"231,467",Desaparecido,Sin Información,2023-01-02T00:00:00.000,68,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Buenavista,Quindio,Desaparición
"231,468",Desaparecido,Sin Información,2023-01-03T00:00:00.000,15,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,469",Desaparecido,Sin Información,2023-01-03T00:00:00.000,2,Mujer,Colombia,Sin Información,No Aplica,Sin información,Ninguno,Colombia,Marinilla,Antioquia,Desaparición
"231,470",Aparecio Vivo,Sin Información,2023-01-05T00:00:00.000,32,Mujer,Colombia,Mestizo,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
"231,471",Aparecio Vivo,Sin Información,2023-01-04T00:00:00.000,31,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,473",Desaparecido,Sin Información,2023-01-02T00:00:00.000,64,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,474",Aparecio Vivo,Sin Información,2023-01-03T00:00:00.000,20,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,476",Aparecio Vivo,Sin Información,2023-01-05T00:00:00.000,17,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Tunja,Boyacá,Desaparición
"231,478",Aparecio Vivo,Sin Información,2023-01-05T00:00:00.000,29,Hombre,Colombia,Sin Información,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Neiva,Huila,Desaparición
"231,479",Desaparecido,Sin Información,2023-01-06T00:00:00.000,24,Mujer,Colombia,Blanco,Soltero (a),Educación básica secundaria o secundaria baja,Sin información,Colombia,Guadalajara De Buga,Valle Del Cauca,Desaparición
"231,480",Desaparecido,Sin Información,2023-01-03T00:00:00.000,21,Mujer,Colombia,Mestizo,Unión Libre,Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,481",Desaparecido,Sin Información,2023-01-02T00:00:00.000,69,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Santa Marta,Magdalena,Desaparición
"231,483",Desaparecido,Sin Información,2023-01-04T00:00:00.000,63,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,484",Aparecio Vivo,Desaparición Presuntamente Forzada,2023-01-03T00:00:00.000,40,Hombre,Colombia,Mestizo,Unión Libre,Educación técnica profesional y tecnológica,Campesinos (as) y/o trabajadores (as) del campo,Colombia,Cubará,Boyacá,Desaparición
"231,485",Aparecio Vivo,Sin Información,2023-01-03T00:00:00.000,26,Hombre,Colombia,Mestizo,Soltero (a),Sin información,Discapacitados (as),Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,488",Desaparecido,Sin Información,2023-01-04T00:00:00.000,17,Hombre,Colombia,Mestizo,Sin Información,Educación básica secundaria o secundaria baja,Sin información,Colombia,Manizales,Caldas,Desaparición
"231,489",Aparecio Vivo,Sin Información,2023-01-02T00:00:00.000,15,Mujer,Colombia,Mestizo,No Aplica,Educación básica primaria,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
"231,490",Desaparecido,Sin Información,2023-01-01T00:00:00.000,31,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Múltiples factores,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,491",Desaparecido,Sin Información,2023-01-04T00:00:00.000,28,Hombre,Colombia,Mestizo,Unión Libre,Educación inicial y educación preescolar,Personas bajo custodia,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,493",Aparecio Vivo,Sin Información,2023-01-05T00:00:00.000,13,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Medellín,Antioquia,Desaparición
"231,495",Desaparecido,Sin Información,2023-01-06T00:00:00.000,76,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Dosquebradas,Risaralda,Desaparición
"231,496",Desaparecido,Sin Información,2023-01-04T00:00:00.000,48,Hombre,Colombia,Mestizo,Unión Libre,Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,497",Aparecio Vivo,Sin Información,2023-01-05T00:00:00.000,49,Hombre,Colombia,Mestizo,Soltero (a),Educación técnica profesional y tecnológica,Persona adicta a una droga natural o sintética,Colombia,Pereira,Risaralda,Desaparición
"231,498",Desaparecido,Sin Información,2023-01-06T00:00:00.000,46,Hombre,Colombia,Mestizo,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,499",Aparecio Vivo,Sin Información,2023-01-05T00:00:00.000,23,Mujer,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Tunja,Boyacá,Desaparición
"231,500",Aparecio Vivo,Sin Información,2023-01-05T00:00:00.000,59,Mujer,Colombia,Mestizo,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Medellín,Antioquia,Desaparición
"231,501",Aparecio Vivo,Sin Información,2023-01-08T00:00:00.000,14,Hombre,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Medellín,Antioquia,Desaparición
"231,502",Aparecio Vivo,Sin Información,2023-01-05T00:00:00.000,59,Hombre,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Pereira,Risaralda,Desaparición
"231,503",Desaparecido,Sin Información,2023-01-07T00:00:00.000,30,Hombre,Venezuela,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,504",Desaparecido,Sin Información,2023-01-06T00:00:00.000,47,Mujer,Colombia,Mestizo,Unión Libre,Educación técnica profesional y tecnológica,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,505",Aparecio Vivo,Sin Información,2023-01-09T00:00:00.000,30,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,506",Desaparecido,Sin Información,2023-01-07T00:00:00.000,54,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,508",Aparecio Vivo,Sin Información,2023-01-08T00:00:00.000,17,Mujer,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,513",Aparecio Vivo,Sin Información,2023-01-02T00:00:00.000,18,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Mosquera,Cundinamarca,Desaparición
"231,515",Desaparecido,Sin Información,2023-01-04T00:00:00.000,17,Mujer,Colombia,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Santa Marta,Magdalena,Desaparición
"231,517",Aparecio Vivo,Sin Información,2023-01-07T00:00:00.000,18,Hombre,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Otro,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,521",Aparecio Muerto,Sin Información,2023-01-08T00:00:00.000,24,Hombre,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,523",Aparecio Vivo,Sin Información,2023-01-08T00:00:00.000,14,Mujer,Venezuela,Mestizo,Soltero (a),Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,524",Aparecio Vivo,Sin Información,2023-01-08T00:00:00.000,22,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Pasto,Nariño,Desaparición
"231,525",Aparecio Vivo,Sin Información,2023-01-05T00:00:00.000,24,Hombre,Colombia,Blanco,Soltero (a),Educación básica secundaria o secundaria baja,Persona adicta a una droga natural o sintética,Colombia,Cali,Valle Del Cauca,Desaparición
"231,526",Aparecio Vivo,Sin Información,2023-01-10T00:00:00.000,56,Mujer,Colombia,Mestizo,Soltero (a),Sin información,Discapacitados (as),Colombia,Cúcuta,Norte De Santander,Desaparición
"231,527",Desaparecido,Sin Información,2023-01-03T00:00:00.000,22,Mujer,Colombia,Blanco,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Dosquebradas,Risaralda,Desaparición
"231,528",Aparecio Vivo,Sin Información,2023-01-03T00:00:00.000,31,Hombre,Colombia,Sin Información,Unión Libre,Sin información,Ninguno,Colombia,Soacha,Cundinamarca,Desaparición
"231,531",Desaparecido,Sin Información,2023-01-06T00:00:00.000,16,Mujer,Colombia,Sin Información,Sin Información,Sin información,Ninguno,Colombia,Chía,Cundinamarca,Desaparición
"231,532",Desaparecido,Sin Información,2023-01-03T00:00:00.000,48,Mujer,Venezuela,Sin Información,Unión Libre,Educación técnica profesional y tecnológica,Sin información,Colombia,Bucaramanga,Santander,Desaparición
"231,533",Aparecio Vivo,Sin Información,2023-01-06T00:00:00.000,21,Mujer,Colombia,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Santa Marta,Magdalena,Desaparición
"231,534",Desaparecido,Sin Información,2023-01-06T00:00:00.000,48,Hombre,Colombia,Mestizo,Casado (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,535",Aparecio Vivo,Sin Información,2023-01-03T00:00:00.000,31,Mujer,Colombia,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Santa Marta,Magdalena,Desaparición
"231,536",Aparecio Muerto,Sin Información,2023-01-06T00:00:00.000,50,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Armenia,Quindio,Desaparición
"231,541",Aparecio Muerto,Sin Información,2023-01-06T00:00:00.000,66,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Copacabana,Antioquia,Desaparición
"231,542",Desaparecido,Sin Información,2023-01-09T00:00:00.000,14,Mujer,Colombia,Sin Información,Sin Información,Educación básica primaria,Sin información,Colombia,Garzón,Huila,Desaparición
"231,543",Desaparecido,Sin Información,2023-01-04T00:00:00.000,9,Mujer,Ecuador,Mestizo,No Aplica,Educación inicial y educación preescolar,Ninguno,Colombia,Medellín,Antioquia,Desaparición
"231,544",Desaparecido,Sin Información,2023-01-06T00:00:00.000,13,Hombre,Colombia,Mestizo,No Aplica,Sin información,Otro,Colombia,Tuluá,Valle Del Cauca,Desaparición
"231,546",Aparecio Vivo,Sin Información,2023-01-09T00:00:00.000,15,Hombre,Colombia,Blanco,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,547",Desaparecido,Sin Información,2023-01-03T00:00:00.000,19,Hombre,Venezuela,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Sin información,Colombia,Bucaramanga,Santander,Desaparición
"231,549",Aparecio Vivo,Sin Información,2023-01-10T00:00:00.000,13,Mujer,Colombia,Blanco,Soltero (a),Educación básica primaria,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
"231,550",Aparecio Vivo,Sin Información,2023-01-10T00:00:00.000,14,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,552",Desaparecido,Sin Información,2023-01-04T00:00:00.000,71,Hombre,Colombia,Mestizo,Soltero (a),Sin escolaridad,Ninguno,Colombia,Quimbaya,Quindio,Desaparición
"231,553",Desaparecido,Sin Información,2023-01-09T00:00:00.000,40,Hombre,Colombia,Sin Información,Casado (a),Educación básica secundaria o secundaria baja,Sin información,Colombia,Cúcuta,Norte De Santander,Desaparición
"231,554",Desaparecido,Sin Información,2023-01-04T00:00:00.000,33,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,La Mesa,Cundinamarca,Desaparición
"231,555",Aparecio Vivo,Sin Información,2023-01-10T00:00:00.000,23,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Dosquebradas,Risaralda,Desaparición
"231,557",Aparecio Vivo,Sin Información,2023-01-11T00:00:00.000,40,Mujer,Colombia,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Ibagué,Tolima,Desaparición
"231,562",Desaparecido,Sin Información,2023-01-07T00:00:00.000,57,Hombre,Colombia,Blanco,"Separado(a),Divorciado(a)",Educación media o secundaria alta,Ninguno,Colombia,Pereira,Risaralda,Desaparición
"231,567",Aparecio Vivo,Sin Información,2023-01-08T00:00:00.000,23,Hombre,Venezuela,Mestizo,Soltero (a),Educación inicial y educación preescolar,Herido y/o enfermo bajo protección sanitaria o médica,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,569",Desaparecido,Sin Información,2023-01-09T00:00:00.000,52,Hombre,Ecuador,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,570",Aparecio Vivo,Sin Información,2023-01-09T00:00:00.000,13,Mujer,Colombia,Sin Información,Soltero (a),Educación básica primaria,Sin información,Colombia,Medellín,Antioquia,Desaparición
"231,572",Aparecio Vivo,Sin Información,2023-01-02T00:00:00.000,56,Hombre,Colombia,Blanco,Soltero (a),Educación básica primaria,Otro,Colombia,Cali,Valle Del Cauca,Desaparición
"231,573",Desaparecido,Sin Información,2023-01-02T00:00:00.000,22,Hombre,Sin información,Sin Información,Sin Información,Sin información,Sin información,Colombia,Valledupar,Cesar,Desaparición
"231,574",Aparecio Vivo,Sin Información,2023-01-11T00:00:00.000,13,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Pasto,Nariño,Desaparición
"231,576",Aparecio Vivo,Sin Información,2023-01-08T00:00:00.000,13,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,577",Aparecio Vivo,Sin Información,2023-01-09T00:00:00.000,16,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Manizales,Caldas,Desaparición
"231,579",Desaparecido,Sin Información,2023-01-07T00:00:00.000,20,Mujer,Colombia,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Sin información,Colombia,Soacha,Cundinamarca,Desaparición
"231,580",Aparecio Muerto,Sin Información,2023-01-09T00:00:00.000,42,Hombre,Colombia,Mestizo,Soltero (a),Sin información,Persona adicta a una droga natural o sintética,Colombia,La Virginia,Risaralda,Desaparición
"231,581",Desaparecido,Sin Información,2023-01-10T00:00:00.000,15,Mujer,Colombia,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bucaramanga,Santander,Desaparición
"231,582",Aparecio Vivo,Sin Información,2023-01-12T00:00:00.000,14,Mujer,Colombia,Mestizo,No Aplica,Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,588",Aparecio Vivo,Sin Información,2023-01-12T00:00:00.000,73,Hombre,Colombia,Sin Información,Soltero (a),Educación inicial y educación preescolar,Otro,Colombia,Cali,Valle Del Cauca,Desaparición
"231,589",Desaparecido,Sin Información,2023-01-12T00:00:00.000,16,Mujer,Colombia,Sin Información,Soltero (a),Educación básica primaria,Sin información,Colombia,Floridablanca,Santander,Desaparición
"231,590",Desaparecido,Sin Información,2023-01-11T00:00:00.000,84,Hombre,Colombia,Mestizo,Casado (a),Educación inicial y educación preescolar,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,591",Aparecio Vivo,Sin Información,2023-01-12T00:00:00.000,43,Hombre,Colombia,Sin Información,Unión Libre,Educación media o secundaria alta,Sin información,Colombia,Barranquilla,Atlántico,Desaparición
"231,592",Desaparecido,Sin Información,2023-01-12T00:00:00.000,16,Mujer,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,594",Aparecio Vivo,Sin Información,2023-01-12T00:00:00.000,17,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,595",Aparecio Vivo,Sin Información,2023-01-07T00:00:00.000,22,Mujer,Colombia,Sin Información,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Tunja,Boyacá,Desaparición
"231,596",Aparecio Vivo,Sin Información,2023-01-12T00:00:00.000,35,Hombre,Colombia,Sin Información,Unión Libre,Sin información,Sin información,Colombia,Popayán,Cauca,Desaparición
"231,597",Aparecio Vivo,Sin Información,2023-01-13T00:00:00.000,14,Hombre,Colombia,Sin Información,No Aplica,Educación básica primaria,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
"231,598",Aparecio Vivo,Sin Información,2023-01-13T00:00:00.000,14,Mujer,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,600",Aparecio Vivo,Sin Información,2023-01-13T00:00:00.000,65,Hombre,Colombia,Sin Información,Soltero (a),Sin escolaridad,Otro,Colombia,Cali,Valle Del Cauca,Desaparición
"231,601",Aparecio Muerto,Sin Información,2023-01-11T00:00:00.000,45,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Otro,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,602",Aparecio Vivo,Sin Información,2023-01-06T00:00:00.000,32,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Otro,Colombia,Cajicá,Cundinamarca,Desaparición
"231,603",Desaparecido,Sin Información,2023-01-13T00:00:00.000,36,Hombre,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,604",Aparecio Vivo,Sin Información,2023-01-14T00:00:00.000,25,Mujer,Colombia,Sin Información,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
"231,605",Aparecio Vivo,Sin Información,2023-01-13T00:00:00.000,21,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,606",Aparecio Vivo,Sin Información,2023-01-14T00:00:00.000,19,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,607",Aparecio Vivo,Sin Información,2023-01-10T00:00:00.000,24,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,608",Aparecio Vivo,Sin Información,2023-01-02T00:00:00.000,22,Hombre,Colombia,Mestizo,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,609",Aparecio Vivo,Sin Información,2023-01-12T00:00:00.000,51,Hombre,Colombia,Sin Información,Unión Libre,Educación media o secundaria alta,Otro,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,610",Aparecio Vivo,Sin Información,2023-01-09T00:00:00.000,38,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Pereira,Risaralda,Desaparición
